Module,Trigger,Recipient,Notification Type,Title,Message,Payload Keys,Source
Order,Admin order status change,Order creator user,order_status,"Order #{order_no} Status Updated","Default: Your order status has been updated to {status}. | part_dispatched: Your order is partially dispatched. | dispatched: Your order is now fully dispatched. | hold: Your order has been placed on hold. | rejected: Your order has been rejected. | approved: Your order has been approved. | delivered: Your order has been delivered.","type, order_id, status",app/Http/Controllers/OrderController.php
Order Dispatch,Admin dispatch save,Order creator user,order_dispatch,"Order #{order_no} Status Updated","dispatched: Your order is now fully dispatched. | part_dispatched: Your order is partially dispatched.","type, order_id, status",app/Http/Controllers/OrderController.php
Expense,Admin expense approve/reject,Expense creator user,expense_status,"Expense #{expense_id} {approval_status}","Approved: Your expense has been approved. | Rejected: Your expense has been rejected.","type, expense_id, status, reject_reason",app/Http/Controllers/ExpenseController.php
Expense Report,Admin expense report approve selected / PDF generate,Selected employee,expense_report_approved,"Expense Report Approved","Your expense report for {month_label} has been approved.","type, expense_pdf_id, month, trip_count, total_amount, pdf_url",app/Http/Controllers/ExpenseController.php
Trip,Admin trip approve/reject,Trip creator user,trip_status,"Trip #{trip_id} {Approved/Rejected}","approved: Your trip has been approved. | denied: Your trip has been rejected.","type, trip_id, status, approval_reason, trip_date",app/Http/Controllers/TripController.php
Trip Close Reminder,Cron hourly between 9 PM and 11:59 PM,Users with today's open trip,trip_close_reminder,"Punch Out Reminder","Your day trip is still active. Please punch out once your day trip is finished.","type, trip_id, user_id, trip_date",app/Console/Commands/TripCloseReminder.php
Party Visit Checkout Reminder,Cron hourly,Users with today's open party visit,party_visit_checkout_reminder,"Party Visit Checkout Reminder","Your visit for {party_name} is still active. Please check out once the visit is finished.","type, party_visit_id, customer_id, user_id, visited_date, check_in_time",app/Console/Commands/PartyVisitCheckoutReminder.php
Price List,Admin price list PDF upload,All active users of selected state,price_list,"New Price List Uploaded","New price list has been uploaded for {state_name}.","type, price_list_id, state_id, pdf_url",app/Http/Controllers/PriceController.php
Brochure,Admin brochure PDF upload,All active users of selected state,brochure,"New Brochure Uploaded","New brochure has been uploaded for {state_name}.","type, brochure_id, state_id, pdf_url",app/Http/Controllers/BrochureController.php
New Party,Admin new-party status change,Party creator user,new_party_status,"{party_name} {Status}","Default: Your new party status has been updated to {status}. | approved: {party_name} has been approved. | rejected: {party_name} has been rejected. | hold: {party_name} has been placed on hold.","type, party_id, status, remark",app/Http/Controllers/PartyController.php
Party Payment,Admin party payment marked received,Payment creator user,party_payment_status,"Payment Received","Payment for {party_name} has been marked as received.","type, party_payment_id, customer_id, status, amount, clear_return_date",app/Http/Controllers/PartyPaymentController.php
